af_afribooms afrikaans-afribooms
grc_proiel ancient_greek-proiel
grc_perseus ancient_greek-perseus
ar_padt arabic-padt
hy_armtdp armenian-armtdp
eu_bdt basque-bdt
bg_btb bulgarian-btb
bxr_bdt buryat-bdt
ca_ancora catalan-ancora
zh_gsd chinese-gsd
hr_set croatian-set
cs_cac czech-cac
cs_fictree czech-fictree
cs_pdt czech-pdt
da_ddt danish-ddt
nl_alpino dutch-alpino
nl_lassysmall dutch-lassysmall
en_ewt english-ewt
en_gum english-gum
en_lines english-lines
et_edt estonian-edt
fi_ftb finnish-ftb
fi_tdt finnish-tdt
fr_gsd french-gsd
fr_sequoia french-sequoia
fr_spoken french-spoken
gl_ctg galician-ctg
gl_treegal galician-treegal
de_gsd german-gsd
got_proiel gothic-proiel
el_gdt greek-gdt
he_htb hebrew-htb
hi_hdtb hindi-hdtb
hu_szeged hungarian-szeged
id_gsd indonesian-gsd
ga_idt irish-idt
it_isdt italian-isdt
it_postwita italian-postwita
ja_gsd japanese-gsd
kk_ktb kazakh-ktb
ko_gsd korean-gsd
ko_kaist korean-kaist
kmr_mg kurmanji-mg
la_ittb latin-ittb
la_proiel latin-proiel
la_perseus latin-perseus
lv_lvtb latvian-lvtb
sme_giella north_sami-giella
no_bokmaal norwegian-bokmaal
no_nynorsk norwegian-nynorsk
no_nynorsklia norwegian-nynorsklia
cu_proiel old_church_slavonic-proiel
fro_srcmf old_french-srcmf
fa_seraji persian-seraji
pl_lfg polish-lfg
pl_sz polish-sz
pt_bosque portuguese-bosque
ro_rrt romanian-rrt
ru_syntagrus russian-syntagrus
ru_taiga russian-taiga
sr_set serbian-set
sk_snk slovak-snk
sl_ssj slovenian-ssj
sl_sst slovenian-sst
es_ancora spanish-ancora
sv_lines swedish-lines
sv_talbanken swedish-talbanken
tr_imst turkish-imst
uk_iu ukrainian-iu
hsb_ufal upper_sorbian-ufal
ur_udtb urdu-udtb
ug_udt uyghur-udt
vi_vtb vietnamese-vtb

br_keb mixed-ud
cs_pud czech-pdt
en_pud english-ewt
fo_oft mixed-ud
fi_pud finnish-tdt
ja_modern japanese-gsd
pcm_nsc mixed-ud
sv_pud swedish-talbanken
th_pud mixed-ud
